Sample,Site code,Site name,Common name,Species name,%C,%N,ugC,ugN,d13C,d15N
H2.8.2,H2,Hexham,Mangrove,Avicennia marina,45.4,2.1,3186.1,145.1,-26.7,7.1
H2.8.3,H2,Hexham,Mangrove,Avicennia marina,40.2,1.7,2812.9,121,-28.7,6.2
H2.30.1,H2,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,14.6,1.4,958.5,95.3,-29.5,9
H2.30.2,H2,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,12.2,1.3,863.1,90.8,-29.1,8.7
H2.30.3,H2,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,9,0.9,625,62.3,-27.8,8.4
H2.34.1,H2,Hexham,Salt Couch,Sporobolus virginicus,40.7,1.2,2787.8,85,-15.5,6.1
H2.34.2,H2,Hexham,Salt Couch,Sporobolus virginicus,41.7,1.3,3106.9,94.4,-15,5.4
H2.34.3,H2,Hexham,Salt Couch,Sporobolus virginicus,41.6,1.5,3114.7,110.1,-15.4,8.6
H3.32.1,H3,Hexham,Austral Seablite,Sueda australis,30.6,1.8,2109.2,127.4,-29.8,12.1
H3.32.2,H3,Hexham,Austral Seablite,Sueda australis,32,2,2291.6,146.1,-30,12.5
H3.32.3,H3,Hexham,Austral Seablite,Sueda australis,32.6,2.2,2290.8,152.5,-30,12.5
H3.35.1,H3,Hexham,Beaded Samphire,Sarcocornia quinqueflora,30.4,1.6,2173.5,114,-28.9,8.1
H3.35.2,H3,Hexham,Beaded Samphire,Sarcocornia quinqueflora,27.6,1.5,2114.2,118.7,-29.5,7.2
H3.35.3,H3,Hexham,Beaded Samphire,Sarcocornia quinqueflora,31,1.7,2176.2,118.8,-29.4,8.6
H3.37.1,H3,Hexham,FBOM,Fine benthic organic matter,1.7,0.1,741.5,36.6,-25.7,2
H3.37.2,H3,Hexham,FBOM,Fine benthic organic matter,2.2,0.2,655.9,55.1,-24.9,4.1
H3.37.3,H3,Hexham,FBOM,Fine benthic organic matter,2.5,0.2,756.1,54.1,-25.5,3.5
H3.37.3*,H3,Hexham,FBOM,Fine benthic organic matter,2.1,0.1,583.3,37.2,-23.7,1.1
H3.8.1,H3,Hexham,Mangrove,Avicennia marina,44.9,1.7,3212.7,120.7,-27.6,4.5
H3.8.2,H3,Hexham,Mangrove,Avicennia marina,46.8,2.1,3303,150.9,-28.9,6.6
H3.8.2,H3,Hexham,Mangrove,Avicennia marina,45.6,1.9,3345.1,140.3,-27.4,5.1
H3.21.1,H3,Hexham,Zoo,Zooplankton,27.3,4,1211.6,176.5,-24.1,4.8
H3.21.2,H3,Hexham,Zoo,Zooplankton,16.2,2.2,538.5,72.4,-24.6,6.1
H3.21.3,H3,Hexham,Zoo,Zooplankton,30.7,5,1286.1,210.6,-24.1,5.1
H3.22.1,H3,Hexham,Zoo,Zooplankton,20.4,2.9,666,96.3,-24.2,5.5
H3.22.3,H3,Hexham,Zoo,Zooplankton,26.5,2.6,977,96.5,-26.4,4.7
H4.33.1,H4,Hexham,Cane Grass,Nasella hyalina,43.8,1.3,2897.5,82.8,-28.2,4.8
H4.33.2,H4,Hexham,Cane Grass,Nasella hyalina,44.5,1.9,3180.9,134.4,-26.9,7.1
H4.33.3,H4,Hexham,Cane Grass,Nasella hyalina,43.9,2.3,2961.5,155.8,-27.8,5.2
H4.8.1,H4,Hexham,Mangrove,Avicennia marina,42.1,1.7,2960.4,122.4,-29.3,5.3
H4.8.2,H4,Hexham,Mangrove,Avicennia marina,42.5,1.8,2983.5,128.9,-28.7,5
H4.8.3,H4,Hexham,Mangrove,Avicennia marina,42.7,1.6,3051.2,115.3,-29.3,4.1
H4.30.1,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,10.3,0.5,705.6,34.3,-29.4,6.8
H4.30.2,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,9.8,0.5,653,35.1,-29,6.7
H4.30.3,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,28.4,1.8,1994.6,123.1,-30.9,8.3
H4.34.1,H4,Hexham,Salt Couch,Sporobolus virginicus,41.9,0.9,2783.1,62.3,-15,3.6
H4.34.2,H4,Hexham,Salt Couch,Sporobolus virginicus,42.6,1.1,2750.9,69.5,-14.9,3.9
H4.34.3,H4,Hexham,Salt Couch,Sporobolus virginicus,42.7,1,2895.4,68.7,-15,3.3
T1.32.1,T1,Tomago,Austral Seablite,Sueda australis,33.7,2.3,2487,167.8,-27.6,7.7
T1.32.2,T1,Tomago,Austral Seablite,Sueda australis,33,2.8,2209.4,185.2,-27.4,8.5
T1.32.3,T1,Tomago,Austral Seablite,Sueda australis,32.7,2.2,2358.6,162,-27.1,6.2
T1.35.1,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,30.3,1.9,2176.9,138.3,-31,6
T1.35.2,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,28.7,1.7,2007.1,116.7,-29.3,7.4
T1.35.3,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,28.9,1.9,1927.5,123.8,-29.2,9.4
T1.36.1,T1,Tomago,Bermuda Grass,Cynodon dactylon,43.7,0.7,3296.3,49.7,-14.3,2.4
T1.36.2,T1,Tomago,Bermuda Grass,Cynodon dactylon,44.2,0.8,2995.7,52,-14.6,3.8
T1.36.3,T1,Tomago,Bermuda Grass,Cynodon dactylon,43,1,3229.4,75.6,-14.5,2.3
T1.33.1,T1,Tomago,Cane Grass,Nasella hyalina,44.4,2.4,3375,183.6,-27.8,3.9
T1.33.2,T1,Tomago,Cane Grass,Nasella hyalina,43.5,2.5,3100.3,176.6,-25.7,4.3
T1.33.3,T1,Tomago,Cane Grass,Nasella hyalina,45.2,2.8,3233.6,203.3,-25.1,4.4
T1.37.1,T1,Tomago,FBOM,Fine benthic organic matter,1.8,0.2,674.5,61.2,-23.3,3.7
T1.37.2,T1,Tomago,FBOM,Fine benthic organic matter,1.7,0.2,553.6,51.2,-23.5,2
T1.37.3,T1,Tomago,FBOM,Fine benthic organic matter,1.8,0.2,715.1,65.4,-23.5,3.1
T2.8.1,T2,Tomago,Mangrove,Avicennia marina,46.4,1.1,3432.6,78.8,-28.6,2.2
