Sample,Site code,Site name,Species name,Common name,%C,%N,ugC,ugN,d13C,d15N,Type
FB2.43.2.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,51.8,14.9,776.3,223.9,-20.9,13.8,Consumer
FB2.43.3.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,53.2,14.8,866.8,241.8,-18,13.6,Consumer
FB2.43.4.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,54.2,16.9,937.5,291.9,-16.9,12.4,Consumer
FB2.43.5.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,48.8,14.2,892.3,260,-17,9.2,Consumer
FB2.43.6.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,51.1,14.4,633.3,178.2,-15.7,10.3,Consumer
FB2.43.7.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,47.2,14.1,707.5,211.5,-16.8,9.3,Consumer
FB2.43.8.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,47.5,14.9,730.8,229.4,-15.7,11.6,Consumer
FB2.43.9.M,FB2,Fern Bay,Mugil cephalus,Sea Mullet,50.4,14.4,826.7,235.8,-15.6,9.2,Consumer
FB3.32.1,FB3,Fern Bay,,Mangrove + others,30.7,1.5,2339.5,116.5,-25.9,3.6,Source
FB3.32.2,FB3,Fern Bay,,Mangrove + others,31.2,2.4,2320.7,180.9,-27.1,2.6,Source
FB3.32.3,FB3,Fern Bay,,Mangrove + others,32.7,2.2,2278.7,149.7,-25.3,3.2,Source
FB3.35.1,FB3,Fern Bay,,Mangrove + others,34.4,1.2,2634.9,95.6,-27.7,2.3,Source
FB3.35.2,FB3,Fern Bay,,Mangrove + others,34.7,1,2541.9,74.4,-27.5,2.3,Source
FB3.35.3,FB3,Fern Bay,,Mangrove + others,32.9,0.9,2475,70.1,-27.9,1.5,Source
FB3.37.1,FB3,Fern Bay,,FBOM,1.4,0.1,411.8,32.7,-22.4,-6,Source
FB3.37.2,FB3,Fern Bay,,FBOM,0.8,0.1,181.2,12.2,-22.2,5.4,Source
FB3.37.3,FB3,Fern Bay,,FBOM,3,0.2,987.1,68.7,-23.7,2.8,Source
FB3.8.1,FB3,Fern Bay,,Mangrove + others,43,1.4,3327.8,111.9,-29.3,3.9,Source
FB3.8.2,FB3,Fern Bay,,Mangrove + others,43.9,1.3,3202,92.7,-29.4,3.8,Source
FB3.8.3,FB3,Fern Bay,,Mangrove + others,43,1.6,3063.2,116,-29.1,4.1,Source
FB3.30.1,FB3,Fern Bay,,Mangrove + others,12.5,1.1,879.3,79.9,-21.7,7.7,Source
FB3.30.2,FB3,Fern Bay,,Mangrove + others,15.1,1.5,1067.5,107.2,-27.3,7.1,Source
FB3.30.3,FB3,Fern Bay,,Mangrove + others,11.1,1.1,773.4,80,-27.3,7.1,Source
FB3.34.1,FB3,Fern Bay,,S. virginicus,39.7,1,2734,66.9,-14.7,0.6,Source
FB3.34.2,FB3,Fern Bay,,S. virginicus,40.3,0.9,2845.8,62.5,-14.3,0.4,Source
FB3.34.3,FB3,Fern Bay,,S. virginicus,41.5,0.9,3067.1,64.8,-14.4,0.5,Source
FB3.21.1,FB3,Fern Bay,,Zooplankton,28.1,4.7,1076.9,181.8,-21.8,5,Consumer
FB3.21.2,FB3,Fern Bay,,Zooplankton,15.1,2.4,477.7,77.3,-22.9,7,Consumer
FB3.21.3,FB3,Fern Bay,,Zooplankton,29.6,5,1428.1,242,-21.5,5.7,Consumer
FB3.22.1,FB3,Fern Bay,,Zooplankton,21.2,3.1,430.8,63,-22.5,6.2,Consumer
FB3.22.2,FB3,Fern Bay,,Zooplankton,11.1,1.6,280.7,41.3,-22.4,7,Consumer
FB3.22.3,FB3,Fern Bay,,Zooplankton,33.4,6.4,1562.1,299.7,-20.6,5.3,Consumer
H.24.1.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,45,14.1,598.8,187.2,-17.6,13.1,Consumer
H.24.2.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,46.8,14.8,622.8,196.8,-18.4,13.4,Consumer
H.24.3.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,39.8,12.6,580.8,183.9,-18.6,14.1,Consumer
H.24.4.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,47.1,15.1,608.1,194.4,-22.6,12.5,Consumer
H.24.5.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,47,15,611.6,194.5,-17.3,13.2,Consumer
H.24.6.M,H,Hexham,Acanthopagrus australis,Yellowfin Bream,49.4,15,661.8,201.3,-17.5,14,Consumer
H.64.1,H,Hexham,Portunus armatus,Blue Swimmer Crab,42.7,13.5,580.6,184.2,-17.2,12,Consumer
H.64.2,H,Hexham,Portunus armatus,Blue Swimmer Crab,43.5,13.6,570.3,178.8,-17.7,10.7,Consumer
H.64.3,H,Hexham,Portunus armatus,Blue Swimmer Crab,46.4,14.7,704.7,223.7,-17.3,12.8,Consumer
H.26.1.M,H,Hexham,Platycephalus fuscus,Dusky Flathead,49.5,15.6,822.2,259,-16.3,13.4,Consumer
H.26.2.M,H,Hexham,Platycephalus fuscus,Dusky Flathead,49.2,15.5,768.1,241.7,-18.9,14.1,Consumer
H.26.3.M,H,Hexham,Platycephalus fuscus,Dusky Flathead,47.6,15.1,770.7,244.6,-17.6,13.7,Consumer
H.26.4.M,H,Hexham,Platycephalus fuscus,Dusky Flathead,47.1,15,711.2,226.9,-19.1,14.3,Consumer
H.26.5.M,H,Hexham,Platycephalus fuscus,Dusky Flathead,53.7,17.2,955.1,306.8,-17.8,14.1,Consumer
H.68.1.M,H,Hexham,Argyrosomas japonicus,Mulloway,47.6,15.3,918.1,294.4,-18.4,13.4,Consumer
H.68.10.M,H,Hexham,Argyrosomas japonicus,Mulloway,47.4,15.4,805.1,261.1,-17.8,13.8,Consumer
H.68.11.M,H,Hexham,Argyrosomas japonicus,Mulloway,48.7,15.5,706,224.9,-17.7,13.7,Consumer
H.68.12.M,H,Hexham,Argyrosomas japonicus,Mulloway,46.4,14.9,737.5,236.8,-17.7,13.4,Consumer
H.68.2.M,H,Hexham,Argyrosomas japonicus,Mulloway,47.4,15.2,877.1,280.8,-18.3,13.2,Consumer
H.68.3.M,H,Hexham,Argyrosomas japonicus,Mulloway,46.2,14.9,832.2,267.7,-17.9,13.2,Consumer
H.68.4.M,H,Hexham,Argyrosomas japonicus,Mulloway,46.3,14.8,726.6,233.1,-17.6,13.5,Consumer
H.68.5.M,H,Hexham,Argyrosomas japonicus,Mulloway,48.1,15.3,807.3,257.5,-18.1,13,Consumer
H.68.6.M,H,Hexham,Argyrosomas japonicus,Mulloway,53.7,17.3,745.9,239.9,-18.6,13.5,Consumer
