sample,site_code,site_name,common_name,species_name,d13c,d15n
H3.8.2,H3,Hexham,Mangrove,Avicennia marina,-27.4,5.1
H3.21.1,H3,Hexham,Zoo,Zooplankton,-24.1,4.8
H3.21.2,H3,Hexham,Zoo,Zooplankton,-24.6,6.1
H3.21.3,H3,Hexham,Zoo,Zooplankton,-24.1,5.1
H3.22.1,H3,Hexham,Zoo,Zooplankton,-24.2,5.5
H3.22.3,H3,Hexham,Zoo,Zooplankton,-26.4,4.7
H4.33.1,H4,Hexham,Cane Grass,Nasella hyalina,-28.2,4.8
H4.33.2,H4,Hexham,Cane Grass,Nasella hyalina,-26.9,7.1
H4.33.3,H4,Hexham,Cane Grass,Nasella hyalina,-27.8,5.2
H4.8.1,H4,Hexham,Mangrove,Avicennia marina,-29.3,5.3
H4.8.2,H4,Hexham,Mangrove,Avicennia marina,-28.7,5
H4.8.3,H4,Hexham,Mangrove,Avicennia marina,-29.3,4.1
H4.30.1,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-29.4,6.8
H4.30.2,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-29,6.7
H4.30.3,H4,Hexham,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-30.9,8.3
H4.34.1,H4,Hexham,Salt Couch,Sporobolus virginicus,-15,3.6
H4.34.2,H4,Hexham,Salt Couch,Sporobolus virginicus,-14.9,3.9
H4.34.3,H4,Hexham,Salt Couch,Sporobolus virginicus,-15,3.3
T1.32.1,T1,Tomago,Austral Seablite,Sueda australis,-27.6,7.7
T1.32.2,T1,Tomago,Austral Seablite,Sueda australis,-27.4,8.5
T1.32.3,T1,Tomago,Austral Seablite,Sueda australis,-27.1,6.2
T1.35.1,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,-31,6
T1.35.2,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,-29.3,7.4
T1.35.3,T1,Tomago,Beaded Samphire,Sarcocornia quinqueflora,-29.2,9.4
T1.36.1,T1,Tomago,Bermuda Grass,Cynodon dactylon,-14.3,2.4
T1.36.2,T1,Tomago,Bermuda Grass,Cynodon dactylon,-14.6,3.8
T1.36.3,T1,Tomago,Bermuda Grass,Cynodon dactylon,-14.5,2.3
T1.33.1,T1,Tomago,Cane Grass,Nasella hyalina,-27.8,3.9
T1.33.2,T1,Tomago,Cane Grass,Nasella hyalina,-25.7,4.3
T1.33.3,T1,Tomago,Cane Grass,Nasella hyalina,-25.1,4.4
T1.37.1,T1,Tomago,FBOM,Fine benthic organic matter,-23.3,3.7
T1.37.2,T1,Tomago,FBOM,Fine benthic organic matter,-23.5,2
