sample,site_code,site_name,common_name,species_name,d13c,d15n
FB3.30.2,FB3,Fern Bay,Mangrove + others,NA,-27.3,7.1
FB3.30.3,FB3,Fern Bay,Mangrove + others,NA,-27.3,7.1
FB3.34.1,FB3,Fern Bay,S. virginicus,NA,-14.7,0.6
FB3.34.2,FB3,Fern Bay,S. virginicus,NA,-14.3,0.4
FB3.34.3,FB3,Fern Bay,S. virginicus,NA,-14.4,0.5
FB3.21.1,FB3,Fern Bay,Zooplankton,NA,-21.8,5
FB3.21.2,FB3,Fern Bay,Zooplankton,NA,-22.9,7
FB3.21.3,FB3,Fern Bay,Zooplankton,NA,-21.5,5.7
FB3.22.1,FB3,Fern Bay,Zooplankton,NA,-22.5,6.2
FB3.22.2,FB3,Fern Bay,Zooplankton,NA,-22.4,7
FB3.22.3,FB3,Fern Bay,Zooplankton,NA,-20.6,5.3
H.24.1.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-17.6,13.1
H.24.2.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-18.4,13.4
H.24.3.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-18.6,14.1
H.24.4.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-22.6,12.5
H.24.5.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-17.3,13.2
H.24.6.M,H,Hexham,Yellowfin Bream,Acanthopagrus australis,-17.5,14
H.64.1,H,Hexham,Blue Swimmer Crab,Portunus armatus,-17.2,12
H.64.2,H,Hexham,Blue Swimmer Crab,Portunus armatus,-17.7,10.7
H.64.3,H,Hexham,Blue Swimmer Crab,Portunus armatus,-17.3,12.8
H.26.1.M,H,Hexham,Dusky Flathead,Platycephalus fuscus,-16.3,13.4
H.26.2.M,H,Hexham,Dusky Flathead,Platycephalus fuscus,-18.9,14.1
H.26.3.M,H,Hexham,Dusky Flathead,Platycephalus fuscus,-17.6,13.7
H.26.4.M,H,Hexham,Dusky Flathead,Platycephalus fuscus,-19.1,14.3
H.26.5.M,H,Hexham,Dusky Flathead,Platycephalus fuscus,-17.8,14.1
H.68.1.M,H,Hexham,Mulloway,Argyrosomas japonicus,-18.4,13.4
H.68.10.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.8,13.8
H.68.11.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.7,13.7
H.68.12.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.7,13.4
H.68.2.M,H,Hexham,Mulloway,Argyrosomas japonicus,-18.3,13.2
H.68.3.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.9,13.2
H.68.4.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.6,13.5
H.68.5.M,H,Hexham,Mulloway,Argyrosomas japonicus,-18.1,13
H.68.6.M,H,Hexham,Mulloway,Argyrosomas japonicus,-18.6,13.5
H.68.7.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.8,13.5
H.68.8.M,H,Hexham,Mulloway,Argyrosomas japonicus,-17.9,13.3
H.68.9.M,H,Hexham,Mulloway,Argyrosomas japonicus,-18.1,13.5
